accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s,news_variant
0.5246534653465347,0.5518867924528302,0.5661641541038526,0.5589343132751493,0.0437280409069317,0.0011896213982254,0.0344908886262071,0.0234581008553504,-0.0004816055297851,0.5253465346534654,0.016383879071038,1.0030313,-99.68816,-99.97184,A3,concat,0,42,"[""price"", ""news""]",23116,6372,10100,14243,0.0255695087475184,42,1,0.005,64,30,1.0,64,0.0001,0.5,168.95667123794556,recency_10d
0.5381179575677596,0.5464658169177289,0.8811659192825112,0.6745816049206123,0.0169227026839588,0.0005329310661181,0.0230852997840223,0.0178983137011528,-0.0213594436645507,0.4876662267790072,-0.3547435683981422,0.9441535,-99.95214,-99.970924,A3,concat,1,42,"[""price"", ""news""]",30474,9112,9851,14243,0.0370516398476298,34,1,0.005,64,30,1.0,64,0.0001,0.5,177.900976896286,recency_10d
0.508267361459064,0.5155341183146546,0.7089348419820523,0.5969609856262834,0.0057578246270925,0.0005638300790451,0.0237451064231168,0.0182225257158279,-0.0113841295242309,0.512175568694258,-0.1839763246175579,0.97044575,-99.6225,-99.888084,A3,concat,2,42,"[""price"", ""news""]",38468,10972,9979,14243,0.0300588555541015,64,1,0.005,64,30,1.0,64,0.0001,0.5,398.809552192688,recency_10d
0.5069041424854913,0.5155718068339428,0.7901449275362319,0.6239890126659545,-0.0087851827622263,0.000527616997715,0.0229699150567668,0.0180533900856971,-0.0012272596359252,0.5184110466279768,0.6050876538060219,1.1016127,44518.773,-67.96509,A3,concat,3,42,"[""price"", ""news""]",46657,12721,9994,14243,0.0078819381412192,36,1,0.005,64,30,1.0,64,0.0001,0.5,265.3952257633209,recency_10d
0.4988923349579087,0.5287162162162162,0.5221017514595496,0.5253881661770877,-0.0053045063602359,0.0003644924727268,0.0190916859582084,0.014932264573872,-0.003394603729248,0.5294638901196278,0.5580917745438461,1.0936514,805.57745,-46.1477,A3,concat,4,42,"[""price"", ""news""]",54070,15339,4514,14243,0.0150950635230752,90,1,0.005,64,30,1.0,64,0.0001,0.5,788.0896029472351,recency_10d
0.4779207920792079,0.537147102526003,0.1345616973757677,0.2152105968150022,0.0040604096029505,0.0013341607991605,0.0365261659521034,0.0248993169516325,-0.1220403909683227,0.5017821782178218,-0.4556975436093604,0.9192472,-99.999985,-99.99999,A3,concat,0,123,"[""price"", ""news""]",23116,6372,10100,14243,0.0210635894403615,31,1,0.005,64,30,1.0,64,0.0001,0.5,122.9132809638977,recency_10d
0.5386255202517511,0.5639157294471725,0.6651718983557549,0.6103729104157737,0.0552974663325335,0.0005218184669502,0.0228433462292679,0.0177057646214962,-6.222724914550781e-05,0.5431935844076744,1.402781220864877,1.2552427,3297697300.0,-41.15841,A3,concat,1,123,"[""price"", ""news""]",30474,9112,9851,14243,0.0467887006039721,41,1,0.005,64,30,1.0,64,0.0001,0.5,212.91020488739017,recency_10d
0.4932357951698567,0.5072100313479624,0.4734685914943425,0.4897588537988094,-0.0124222189646079,0.0005627745995298,0.0237228708113036,0.0182231478393077,-0.009490966796875,0.5127768313458262,-0.1365674462830393,0.977977,-99.23715,-99.77937,A3,concat,2,123,"[""price"", ""news""]",38468,10972,9979,14243,0.053143631092847,77,1,0.005,64,30,1.0,64,0.0001,0.5,483.9398329257965,recency_10d
0.4915949569741845,0.5158891142663962,0.29487922705314,0.3752612812000492,-0.0024934379723663,0.0005283009377308,0.022984797970198,0.0180379915982484,-0.0025252103805541,0.5145087052231339,0.586234907750446,1.0982958,34134.758,-64.39314,A3,concat,3,123,"[""price"", ""news""]",46657,12721,9994,14243,-0.0108099214027368,34,1,0.005,64,30,1.0,64,0.0001,0.5,254.0192892551422,recency_10d
0.4738591050066459,0.5148771021992238,0.1659716430358632,0.2510249132765689,-0.0149016088368631,0.0004118859069421,0.020294972454827,0.015203402377665,-0.1338617801666259,0.5332299512627382,0.722810027078717,1.1229376,2100.8303,-49.30808,A3,concat,4,123,"[""price"", ""news""]",54070,15339,4514,14243,-0.0083011814700855,31,1,0.005,64,30,1.0,64,0.0001,0.5,299.63210892677307,recency_10d
